GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sample-maven-project,com.example,App,0,51,1,1,0,12,1,4,0,4
sample-maven-project,com.example,App.MyHandler,0,20,0,0,0,6,0,2,0,2
